"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"16","동물병원","02_03_01_P","3450000","345000001019810004","1981-08-24","","03","폐업","0002","폐업","2008-10-09","","","","357-2188","79.5","","대구광역시 북구 고성동2가 117-6번지","대구광역시 북구 원대로 34 (고성동2가)","","서부동물병원","2008-10-09 10:02:12","I","2018-08-31 23:59:59","","342692.926444034","265593.347783854","동물병원","","000","",
"17","동물병원","02_03_01_P","3450000","345000001020030002","2003-04-11","","03","폐업","0002","폐업","2018-04-27","","","","956-0858","697.6","","대구광역시 북구 산격동 1291-20번지","대구광역시 북구 대학로 141 (산격동)","","다나동물병원","2019-10-17 17:56:52","U","2019-10-19 02:40:00","","345618.776048999","267449.356935954","동물병원","","000","",
"18","동물병원","02_03_01_P","3450000","345000001020050001","2005-03-04","","03","폐업","0002","폐업","2006-11-28","","","","053-325-1121","80","","대구광역시 북구 구암동 811-6번지","대구광역시 북구 구암로60길 19 (구암동)","","임프로바이오동물병원","2006-11-28 13:24:13","I","2018-08-31 23:59:59","","341518.687045791","271889.685083688","동물병원","","000","",
"19","동물병원","02_03_01_P","3450000","345000001020060001","2006-12-04","","03","폐업","0002","폐업","2007-11-07","","","","053-325-1121","114.33","","대구광역시 북구 구암동 811-6번지","대구광역시 북구 구암로60길 19 (구암동)","","임프로바이오동물병원","2007-11-07 10:04:48","I","2018-08-31 23:59:59","","341518.687045791","271889.685083688","동물병원","","L00","",
"20","동물병원","02_03_01_P","3450000","345000001020070001","2007-11-07","","03","폐업","0002","폐업","2010-09-03","","","","325-1121","0","","대구광역시 북구 구암동 811-6번지","대구광역시 북구 구암로60길 19 (구암동)","","임프로바이오","2010-09-03 10:19:23","I","2018-08-31 23:59:59","","341518.687045791","271889.685083688","동물병원","","000","",
"21","동물병원","02_03_01_P","5410000","541000001019730001","1973-02-12","","03","폐업","0002","폐업","2019-12-31","2019-10-01","2019-12-31","","","0","","경상남도 창녕군 대합면 십이리 438-3번지","경상남도 창녕군 대합면 십이리1길 10","50311","대합가축병원","2020-06-16 16:22:53","U","2020-06-18 02:40:00","","333173.050726773","235779.086829787","동물병원","","000","",
"22","동물병원","02_03_01_P","5410000","541000001020040002","2004-10-15","","03","폐업","0002","폐업","2005-12-29","","","","","0","","경상남도 창녕군 창녕읍 술정리 171-1번지","경상남도 창녕군 창녕읍 화왕산1로 12","","자연동물병원","2008-03-24 17:03:01","I","2018-08-31 23:59:59","","335660.072644993","227406.649770382","동물병원","","000","",
"23","동물병원","02_03_01_P","5410000","541000001019790001","1979-06-08","","03","폐업","0002","폐업","2014-01-02","","","","055-533-3525","0","","경상남도 창녕군 창녕읍 교리 992-10번지","경상남도 창녕군 창녕읍 우포2로 1215","","박수의과병원","2014-01-16 16:04:54","I","2018-08-31 23:59:59","","334956.336165344","228114.82309318","동물병원","","000","",
"24","동물병원","02_03_01_P","5410000","541000001019790002","1979-12-01","","03","폐업","0002","폐업","2015-02-26","","","","055-533-3671","0","","경상남도 창녕군 대지면 구미리 203-3번지","경상남도 창녕군 대지면 구미2길 27","","명성동물병원","2015-03-02 09:53:51","I","2018-08-31 23:59:59","","332903.498472708","226342.567791287","동물병원","","000","",
"25","동물병원","02_03_01_P","5410000","541000001019950001","1995-04-29","","03","폐업","0002","폐업","2003-08-14","","","","055-533-8220","0","","경상남도 창녕군 창녕읍 술정리 171-1번지","","","황영균동물병원","2015-07-30 10:27:22","I","2018-08-31 23:59:59","","335660.072644993","227406.649770382","동물병원","","000","",
"26","동물병원","02_03_01_P","5410000","541000001019990001","1999-02-25","","03","폐업","0002","폐업","2009-01-02","","","","055-533-4949","0","","경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반","경상남도 창녕군 창녕읍 창녕대로 20-1","50322","창생동물병원","2014-04-01 13:36:35","I","2018-08-31 23:59:59","","335110.742226218","227877.79348138","동물병원","","000","",
"27","동물병원","02_03_01_P","5410000","541000001019640001","1964-11-02","","03","폐업","0002","폐업","2017-07-12","","","","","0","","경상남도 창녕군 이방면 거남리 397-1번지","경상남도 창녕군 이방면 이방로 976","50300","이방가축병원&lt;산업동물출장진료전문병원&gt;","2017-07-12 17:01:39","I","2018-08-31 23:59:59","","325178.430998746","234541.641901682","동물병원","","000","",
"28","동물병원","02_03_01_P","5410000","541000001019670001","1967-12-07","","03","폐업","0002","폐업","2007-09-03","","","","055-526-2140","0","","경상남도 창녕군 남지읍 남지리 612-15번지 3통1반","경상남도 창녕군 남지읍 선창길 10-1","50361","우리가축병원","2014-04-01 13:29:15","I","2018-08-31 23:59:59","","334564.885511205","210887.413699652","동물병원","","000","",
"29","동물병원","02_03_01_P","5410000","541000001019630001","1963-04-11","","03","폐업","0002","폐업","2023-02-07","","","","","0","","경상남도 창녕군 영산면 서리 110-3 5통3반","경상남도 창녕군 영산면 로터리길 38","50345","영산가축병원&lt;산업동물출장진료전문병원&gt;","2023-02-07 15:07:00","U","2023-02-09 02:40:00","","338841.878003913","218297.477206151","동물병원","","000","0",
"30","동물병원","02_03_01_P","5420000","542000001020030003","1997-12-29","","03","폐업","0002","폐업","2012-06-26","","","","674-7194","58.63","","경상남도 고성군 고성읍 서외리 1-6번지 한솔메르빌 상가 나동109호","","","백호종합동물병원","2015-07-24 09:18:07","I","2018-08-31 23:59:59","","320739.874115981","165048.408968972","동물병원","","000","",
"31","동물병원","02_03_01_P","5420000","542000001020130001","2013-08-23","","03","폐업","0002","폐업","2019-10-11","","","","673-7194","0","","경상남도 고성군 고성읍 서외리 1-6번지","경상남도 고성군 고성읍 중앙로15번길 62","52942","경남수의 동물병원","2019-10-11 20:15:07","U","2019-10-13 02:40:00","","320739.874115981","165048.408968972","동물병원","","000","",
"32","동물병원","02_03_01_P","5420000","542000001020030004","2000-07-01","","03","폐업","0002","폐업","2003-12-09","","","","674-6680","0","","경상남도 고성군 고성읍 동외리 287-12번지","경상남도 고성군 고성읍 동외로 163-14","52942","고성동물병원","2015-07-24 09:11:59","I","2018-08-31 23:59:59","","320950.108465039","164915.518836173","동물병원","","000","",
"33","동물병원","02_03_01_P","5420000","542000001020030005","2000-07-06","","03","폐업","0002","폐업","2004-12-27","","","","674-8061","0","","경상남도 고성군 고성읍 송학리 125-3번지","","","동양가축약품병원","2004-12-27 11:09:45","I","2018-08-31 23:59:59","","322053.011979525","165549.490567033","동물병원","","000","",
"34","동물병원","02_03_01_P","5460000","546000001020030004","2003-03-15","","03","폐업","0002","폐업","2021-04-09","","","","","25","","경상남도 함양군 수동면 화산리 1251-2","경상남도 함양군 수동면 수동길 17","","중앙동물병원","2021-04-09 18:12:00","U","2021-04-11 02:40:00","","271296.115507291","224987.954885297","동물병원","","000","",
"35","동물병원","02_03_01_P","5460000","546000001020030005","2003-03-15","","03","폐업","0002","폐업","2020-03-31","","","","","42","","경상남도 함양군 안의면 금천리 121-3번지","경상남도 함양군 안의면 종로길 5-1","","고려동물병원","2020-03-31 13:18:52","U","2020-04-02 02:40:00","","273542.70161027","236786.992031543","동물병원","","000","",
"36","동물병원","02_03_01_P","4610000","461000001019890001","1989-07-05","","03","폐업","0002","폐업","2006-12-01","","","","","0","","충청남도 예산군 예산읍 주교리 225-9번지","","","한일 동물병원","2007-01-04 15:55:51","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"37","동물병원","02_03_01_P","4610000","461000001019940001","1994-01-20","","03","폐업","0002","폐업","2009-04-13","","","","","0","","충청남도 예산군 예산읍 예산리 581-2번지","","","협동 동물병원","2009-04-14 10:11:12","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"38","동물병원","02_03_01_P","4610000","461000001020010001","2001-07-16","","03","폐업","0002","폐업","2003-10-13","","","","338-1928","0","","충청남도 예산군 고덕면 대천리 770-13번지","","","예당 동물병원","2003-10-13 13:51:04","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"39","동물병원","02_03_01_P","4610000","461000001020030001","2003-10-13","","03","폐업","0002","폐업","2008-01-07","","","","","55.8","","충청남도 예산군 고덕면 대천리 770-13번지","","","예당동물병원","2008-01-07 13:41:55","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"40","동물병원","02_03_01_P","4610000","461000001020080001","2008-01-09","","03","폐업","0002","폐업","2008-02-19","","","","","0","","충청남도 예산군 고덕면 대천리 770-13  번지","","","예당가축병원","2008-02-19 10:00:42","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"41","동물병원","02_03_01_P","4610000","461000001020080002","2008-02-21","","03","폐업","0002","폐업","2008-10-08","","","","","55.8","","충청남도 예산군 고덕면 대천리 770-13  번지","","","예당가축병원","2008-10-08 10:20:36","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"42","동물병원","02_03_01_P","4610000","461000001020080003","2008-10-09","","03","폐업","0002","폐업","2012-08-29","","","","041-338-2928","55.8","","충청남도 예산군 고덕면 대천리 770-13  번지","","","예당가축병원","2012-08-29 14:31:18","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"43","동물병원","02_03_01_P","4610000","461000001020090001","2009-02-19","","03","폐업","0002","폐업","2011-09-20","","","","","0","","충청남도 예산군 예산읍 주교리 225-9   번지","","","한일동물병원","2011-09-20 09:35:59","I","2018-08-31 23:59:59","","","","동물병원","","000","",
"44","동물병원","02_03_01_P","4610000","461000001020100001","2010-03-09","","03","폐업","0002","폐업","2010-03-24","","","","","157.68","","충청남도 예산군 예산읍 주교리 279-5번지","","","대성인터내셔널동물병원","2010-03-24 14:38:44","I","2018-08-31 23:59:59","","184683.180267314","353486.222030883","동물병원","","000","",
"45","동물병원","02_03_01_P","4490000","449000001019990001","1999-10-22","","03","폐업","0002","폐업","2005-08-04","","","","","0","","충청남도 천안시 동남구 쌍용동 1951번지","","","맑은","2005-08-04 13:27:36","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"46","동물병원","02_03_01_P","4490000","449000001020000001","2000-03-06","","03","폐업","0002","폐업","2005-12-27","","","","555-7008","0","","충청남도 천안시 동남구 병천면 병천리 209-2번지","","","아우내","2005-12-27 15:26:25","I","2018-08-31 23:59:59","","226599.462776413","362153.54766402","동물병원","","000","0",
"47","동물병원","02_03_01_P","4490000","449000001020000003","2000-11-16","","03","폐업","0002","폐업","2009-09-24","","","","","0","","충청남도 천안시 서북구 성환읍 성환리 449-742 번지","","","용","2009-09-24 09:29:27","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"48","동물병원","02_03_01_P","4490000","449000001020010001","2001-05-23","","03","폐업","0002","폐업","2005-08-18","","","","","0","","충청남도 천안시 동남구 쌍용동 198-1번지","","","늘푸른동물병원(신방점)","2005-08-18 10:21:04","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"49","동물병원","02_03_01_P","4490000","449000001020020002","1994-08-19","","03","폐업","0002","폐업","2021-05-06","","","","","0","","충청남도 천안시 서북구 성환읍 성환리 432-4","충청남도 천안시 서북구 성환읍 성환중앙로 18","31016","한샘동물병원","2021-05-06 16:15:37","U","2021-05-08 02:40:00","","211464.12385025","379337.521274394","동물병원","","000","0",
"50","동물병원","02_03_01_P","4490000","449000001020020003","2002-04-11","","03","폐업","0002","폐업","2006-01-13","","","","","0","","충청남도 천안시 동남구 쌍용동 2030번지","","","가람","2006-01-13 16:07:34","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"51","동물병원","02_03_01_P","4490000","449000001020020004","2002-04-15","","03","폐업","0002","폐업","2004-04-14","","","","","0","","충청남도 천안시 동남구 신부동 85번지 대아@ 상가 102동 105호","충청남도 천안시 동남구 충절로 42, 102동 105호 (신부동,대아@ 상가)","","대아","2004-04-14 12:56:33","I","2018-08-31 23:59:59","","213981.561506835","368225.475326778","동물병원","","000","0",
"52","동물병원","02_03_01_P","4490000","449000001020020005","2002-05-15","","03","폐업","0002","폐업","2003-05-30","","","","","0","","충청남도 천안시 동남구 원성동 597-2번지","충청남도 천안시 동남구 원거리9길 4 (원성동)","","신대원","2003-06-04 18:25:39","I","2018-08-31 23:59:59","","213708.678208195","366544.574951155","동물병원","","000","0",
"53","동물병원","02_03_01_P","4490000","449000001020020007","2002-10-30","","03","폐업","0002","폐업","2004-08-05","","","","","0","","충청남도 천안시 서북구 성환읍 성환리 449-118 번지","","","성환","2004-08-05 09:55:57","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"54","동물병원","02_03_01_P","4490000","449000001020020008","2002-12-05","","03","폐업","0002","폐업","2016-06-30","","","","578-4575","0","","충청남도 천안시 동남구 신방동 784-9번지 홈플러스 1층","충청남도 천안시 동남구 신촌1길 23 (신방동, 홈플러스 1층)","31177","쿨펫 천안신방점","2016-06-30 16:26:59","I","2018-08-31 23:59:59","","210681.520347633","365092.813367026","동물병원","","000","0",
"55","동물병원","02_03_01_P","4490000","449000001020030002","2003-04-25","","03","폐업","0002","폐업","2004-05-25","","","","041-579-1072","0","","충청남도 천안시 동남구 쌍용동 695번지","","","쌍용동물병원","2004-05-25 11:22:37","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"56","동물병원","02_03_01_P","4490000","449000001020030003","2003-12-10","","03","폐업","0002","폐업","2004-08-30","","","","558-7511","0","","충청남도 천안시 서북구 성정동 1485번지 롯데마트 3층","충청남도 천안시 서북구 성정두정로 1 (성정동,롯데마트 3층)","","아야야 동물병원","2004-08-30 17:48:39","I","2018-08-31 23:59:59","","212478.663749874","369462.286024265","동물병원","","000","0",
"57","동물병원","02_03_01_P","4490000","449000001020040002","2004-03-17","","03","폐업","0002","폐업","2004-04-22","","","","554-7860","0","","충청남도 천안시 서북구 부대동 139-11 번지","","","대원동물병원","2004-04-22 17:30:44","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"58","동물병원","02_03_01_P","4490000","449000001020040003","2004-03-26","","03","폐업","0002","폐업","2010-10-04","","","","556-0275","0","","충청남도 천안시 서북구 성정동 1123번지 탑존빌딩102호","충청남도 천안시 서북구 서부대로 696 (성정동,탑존빌딩102호)","","도끄메리쫑 동물병원","2010-10-04 15:26:07","I","2018-08-31 23:59:59","","211846.628379375","369757.770615553","동물병원","","000","0",
"59","동물병원","02_03_01_P","4490000","449000001020040005","2004-06-25","","03","폐업","0002","폐업","2004-08-26","","","","554-7860","0","","충청남도 천안시 서북구 부대동 139-11 번지","","","대원동물병원","2004-08-26 16:58:28","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"60","동물병원","02_03_01_P","4610000","461000001020110003","2011-10-06","","03","폐업","0002","폐업","2019-11-29","","","","","127.7","","충청남도 예산군 예산읍 산성리 304-16번지","충청남도 예산군 예산읍 역전로 121","","닥터차동물병원","2019-12-02 19:58:42","U","2019-12-04 02:40:00","","184714.453086045","354323.633509572","동물병원","","000","",
"61","동물병원","02_03_01_P","4610000","461000001020120001","2012-08-30","","03","폐업","0002","폐업","2014-05-14","","","","","55.8","","충청남도 예산군 고덕면 대천리 770-13번지","충청남도 예산군 고덕면 고덕중앙로 68","","예당가축병원","2014-05-15 13:26:54","I","2018-08-31 23:59:59","","173512.162492218","360498.393807522","동물병원","","000","",
"62","동물병원","02_03_01_P","4610000","461000001020130001","2013-03-19","","03","폐업","0002","폐업","2019-08-31","","","","070-8865-0194","653.31","","충청남도 예산군 예산읍 산성리 682-1번지 샤인하우스 206호","충청남도 예산군 예산읍 역전로125번길 42, 206호 (샤인하우스)","","푸른동물병원","2019-08-30 15:07:04","U","2019-09-01 02:40:00","","184704.787950011","354679.650077308","동물병원","","000","",
"63","동물병원","02_03_01_P","4610000","461000001020150001","2015-09-15","","03","폐업","0002","폐업","2016-12-30","","","","041-338-7542","33","","","충청남도 예산군 덕산면 수암산로 160","32406","LG동물병원","2016-12-30 16:00:10","I","2018-08-31 23:59:59","","170554.184272109","354348.608541312","동물병원","","000","",
"64","동물병원","02_03_01_P","4610000","461000001020160001","2016-01-25","","03","폐업","0002","폐업","2016-07-25","","","","041-338-6555","35","","충청남도 예산군 고덕면 대천리 778번지","충청남도 예산군 고덕면 대천3길 30","32403","한울산업동물병원","2016-07-25 16:55:34","I","2018-08-31 23:59:59","","173694.332321808","360381.496469654","동물병원","","000","",
"65","동물병원","02_03_01_P","4610000","461000001020160003","2016-07-26","","03","폐업","0002","폐업","2019-06-30","","","","","35","","충청남도 예산군 고덕면 대천리 778번지","충청남도 예산군 고덕면 대천3길 30","32403","한울산업동물병원","2019-07-01 14:35:44","U","2019-07-03 02:40:00","","173694.332321808","360381.496469654","동물병원","","000","",
"66","동물병원","02_03_01_P","4610000","461000001020170001","2017-05-04","","03","폐업","0002","폐업","2022-11-16","","","","","33.55","","충청남도 예산군 고덕면 대천리 728-18","충청남도 예산군 고덕면 황금뜰로 215","32403","윤동물병원·약품(출장진료전문)","2022-11-20 22:06:45","U","2022-11-22 02:40:00","","173519.575327314","360610.280428041","동물병원","","000","0",
"67","동물병원","02_03_01_P","4490000","565000001020130002","2013-05-03","","03","폐업","0002","폐업","2016-06-23","","","","041-564-0075","99.08","","충청남도 천안시 동남구 신부동 388-2번지 천광빌딩 나동 101호","충청남도 천안시 동남구 대흥로 333, 나동 101호 (신부동, 천광빌딩)","31121","열린동물병원","2016-06-23 17:30:32","I","2018-08-31 23:59:59","","213407.595271721","368466.874001316","동물병원","","000","0",
"68","동물병원","02_03_01_P","4490000","565000001020150001","2015-01-09","","03","폐업","0002","폐업","2022-03-22","","","","","25","","충청남도 천안시 동남구 삼룡동 140-3","충청남도 천안시 동남구 무남길 16 (삼룡동)","31070","서일가축병원","2023-01-16 11:16:54","U","2023-01-19 02:40:00","","215249.906530241","364733.874059215","동물병원","","000","0",
"69","동물병원","02_03_01_P","4490000","565000001020150002","2015-07-17","","03","폐업","0002","폐업","2020-06-15","","","","","35.51","","충청남도 천안시 동남구 쌍용동 555-2번지 쌍용신성아파트","충청남도 천안시 동남구 순천향1길 16, 2층 203호 (쌍용동, 쌍용신성아파트)","31151","건국동물병원(산업동물에 대한 출장진료를 전문으로 함)","2020-06-15 19:01:48","U","2020-06-17 02:40:00","","211780.841472374","366648.708911951","동물병원","","000","0",
"70","동물병원","02_03_01_P","4490000","565000001020150003","2015-08-07","","03","폐업","0002","폐업","2016-01-11","","","","557-8275","183.6","","충청남도 천안시 동남구 신부동 88-3번지","충청남도 천안시 동남구 충절로 35 (신부동)","31125","88동물의료원","2016-01-11 17:16:52","I","2018-08-31 23:59:59","","214080.030181276","368281.359675595","동물병원","","000","0",
"71","동물병원","02_03_01_P","4490000","565000001020160001","2016-01-14","","03","폐업","0002","폐업","2018-03-23","","","","041-557-8275","362.4","","충청남도 천안시 동남구 신부동 88-3번지","충청남도 천안시 동남구 충절로 35-0 (신부동)","31125","88동물의료원천안아산동물병원","2018-03-25 13:55:20","I","2018-08-31 23:59:59","","214080.030181276","368281.359675595","동물병원","","000","0",
"72","동물병원","02_03_01_P","4490000","449000001019760001","1976-02-13","","03","폐업","0002","폐업","2006-01-24","","","","581-2842","0","","충청남도 천안시 서북구 성환읍 성환리 449-68번지","","","송","2006-01-24 16:10:10","I","2018-08-31 23:59:59","","211401.351381352","379384.088575856","동물병원","","000","0",
"73","동물병원","02_03_01_P","4490000","449000001019800001","1980-07-25","","03","폐업","0002","폐업","2006-03-03","","","","","0","","충청남도 천안시 동남구 영성동 118번지","","","천안","2006-03-03 16:30:56","I","2018-08-31 23:59:59","","","","동물병원","","000","0",
"74","동물병원","02_03_01_P","4490000","449000001019830001","1983-05-14","","03","폐업","0002","폐업","2006-04-18","","","","","0","","충청남도 천안시 동남구 봉명동 368번지","충청남도 천안시 동남구 쌍용대로 187 (봉명동)","","서부종합","2006-04-18 10:36:32","I","2018-08-31 23:59:59","","211900.047189292","368096.638032044","동물병원","","000","0",
"75","동물병원","02_03_01_P","4490000","565000001020160004","2016-09-20","","03","폐업","0002","폐업","","","","","","40","","충청남도 천안시 동남구 목천읍 운전리 368-17","충청남도 천안시 동남구 목천읍 남부대로 1012","31234","S&amp;P Bio","2022-04-29 10:02:06","U","2022-05-01 02:40:00","","220049.183157217","363360.195986821","동물병원","","000","0",
"76","동물병원","02_03_01_P","4490000","566000001020090001","2009-04-02","","03","폐업","0002","폐업","2011-09-06","","","","558-1475","46.9","","충청남도 천안시 서북구 성성동 366번지 108호","충청남도 천안시 서북구 공단로 95, 108호 (성성동)","","마일스톤 피그 클리닉","2011-09-07 10:55:49","I","2018-08-31 23:59:59","","210848.666360841","371462.012765938","동물병원","","000","0",
"77","동물병원","02_03_01_P","4490000","566000001020090002","2009-08-14","","03","폐업","0002","폐업","2010-04-12","","","","585-8164","31.54","","충청남도 천안시 서북구 성환읍 매주리 322번지","","","천성벳동물병원","2010-04-12 10:31:47","I","2018-08-31 23:59:59","","211334.71338932","378959.204770062","동물병원","","000","0",
"78","동물병원","02_03_01_P","4490000","449000001019920002","1992-05-21","","03","폐업","0002","폐업","2008-01-08","","","","573-7575","0","","충청남도 천안시 동남구 봉명동 39-21번지","","","정동물병원","2008-01-09 13:00:18","I","2018-08-31 23:59:59","","212390.584736123","367031.966193981","동물병원","","000","0",
"79","동물병원","02_03_01_P","4490000","449000001019950001","1995-02-08","","03","폐업","0002","폐업","2017-09-29","","","","564-6242","0","","충청남도 천안시 동남구 병천면 병천리 191-1번지","충청남도 천안시 동남구 병천면 충절로 1757-6","31254","전종한동물병원","2017-09-29 13:29:38","I","2018-08-31 23:59:59","","226729.77523073","362407.139290112","동물병원","","000","0",
"80","동물병원","02_03_01_P","4490000","449000001019950002","1995-11-21","","03","폐업","0002","폐업","2003-12-10","","","","553-9439","0","","충청남도 천안시 동남구 원성동 518-13번지","충청남도 천안시 동남구 버들로 146 (원성동)","","신천안","2003-12-10 16:44:37","I","2018-08-31 23:59:59","","214431.098124956","367207.240672897","동물병원","","000","0",
